,energy(keV),source_efficiency
80,1860.8924418604652,7.834639979698107e-09
81,1884.139534883721,7.874877529449403e-09
82,1907.3866279069769,7.914164327753562e-09
83,1930.6337209302326,7.952642440918774e-09
84,1953.8808139534885,7.990191658991954e-09
85,1977.1279069767443,8.026844766505763e-09
86,2000.375,8.062328559021367e-09
87,2023.6220930232557,8.099112804665816e-09
88,2046.8691860465117,8.135296000544832e-09
89,2070.116279069767,8.170910931191076e-09
90,2093.363372093023,8.205881099361674e-09
91,2116.610465116279,8.23951802987077e-09
92,2139.857558139535,8.27185450725102e-09
93,2163.104651162791,8.303633647576052e-09
94,2186.3517441860467,8.336090334909391e-09
95,2209.5988372093025,8.367705552571123e-09
96,2232.845930232558,8.398621366869443e-09
97,2256.093023255814,8.428280440749132e-09
98,2279.3401162790697,8.457054332247003e-09
99,2302.587209302326,8.484986754073267e-09
100,2325.8343023255816,8.511880999031968e-09
101,2349.0813953488373,8.538097696982366e-09
102,2372.328488372093,8.56371334516733e-09
103,2395.5755813953488,8.591350706199657e-09
104,2418.8226744186045,8.618070100317504e-09
105,2442.06976744186,8.643707604857574e-09
106,2465.316860465116,8.668711275099553e-09
107,2488.563953488372,8.692928116557693e-09
108,2511.8110465116283,8.7162160629238e-09
109,2535.058139534884,8.740553114335027e-09
110,2558.30523255814,8.764442110466568e-09
111,2581.5523255813955,8.787555205991821e-09
112,2604.7994186046512,8.810045395396538e-09
113,2628.046511627907,8.831672258774543e-09
114,2651.2936046511627,8.852872923227969e-09
115,2674.5406976744184,8.874150084924267e-09
116,2697.7877906976746,8.895328893022586e-09
117,2721.0348837209303,8.916890187335272e-09
118,2744.281976744186,8.937894144592737e-09
119,2767.529069767442,8.958417262037858e-09
120,2790.7761627906975,8.978284688829779e-09
121,2814.0232558139537,8.997365286837862e-09
122,2837.2703488372094,9.0162928903602e-09
123,2860.517441860465,9.034969145798808e-09
124,2883.764534883721,9.052967854229114e-09
125,2907.011627906977,9.070234374763348e-09
126,2930.258720930233,9.086790563756617e-09
127,2953.5058139534885,9.103073548311051e-09
128,2976.7529069767443,9.118930333940906e-09
129,3000.0,9.134393705178845e-09
130,3100.0,9.2046946713793e-09
131,3200.0,9.269214631654055e-09
132,3300.0000000000005,9.329254039131951e-09
133,3400.0,9.382255700265516e-09
134,3500.0,9.43076588042467e-09
135,3600.0,9.479702259508401e-09
136,3700.0,9.522934129909305e-09
137,3800.0,9.561423171252069e-09
138,3900.0,9.595202168069357e-09
139,4000.0,9.62490495465926e-09
140,4100.0,9.661590846705729e-09
141,4200.0,9.693992893151299e-09
142,4300.0,9.722908850957363e-09
143,4400.0,9.748098300217748e-09
144,4500.0,9.770490136024485e-09
145,4600.0,9.789800225761186e-09
146,4700.0,9.805853718587003e-09
147,4800.0,9.820552117396207e-09
148,4900.0,9.833502007796881e-09
149,5000.0,9.843971201892956e-09
150,5100.0,9.86015583284941e-09
151,5199.999999999999,9.874744949883081e-09
152,5300.0,9.886536453463107e-09
153,5400.0,9.896721514942794e-09
154,5500.0,9.905343847032355e-09
155,5600.0,9.912108388937857e-09
156,5699.999999999999,9.917244632387913e-09
157,5800.0,9.92030452210284e-09
158,5900.0,9.92185632331541e-09
159,6000.0,9.921419196213278e-09
