 Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}+\mathbf{E_{\pi}}\Vert^2$
6.690567975524016656e+05,2.478967623921798236e+01
6.690567975524016656e+05,1.494356224233649932e+01
6.692567959559130250e+05,1.494356224233649932e+01
6.692567959559131414e+05,8.077221359101088183e+00
6.694567943594245007e+05,8.077221359101088183e+00
6.694567943594245007e+05,3.978804054156923176e+00
6.696567927629358601e+05,3.978804054156923176e+00
6.696567927629358601e+05,2.408196797031380676e+00
6.698567911664472194e+05,2.408196797031380676e+00
6.698567911664472194e+05,9.995683876213536934e-01
6.700567895699585788e+05,9.995683876213536934e-01
6.700567895699585788e+05,5.237727415950814702e-01
6.702567879734699382e+05,5.237727415950814702e-01
6.702567879734699382e+05,2.627378894340291482e-01
6.704567863769812975e+05,2.627378894340291482e-01
6.704567863769812975e+05,1.248771429015313322e-01
6.706567847804926569e+05,1.248771429015313322e-01
6.706567847804926569e+05,4.844174735454423453e-02
6.708567831840040162e+05,4.844174735454423453e-02
6.708567831840041326e+05,2.062868473083100118e-02
6.710567815875154920e+05,2.062868473083100118e-02
6.710567815875154920e+05,7.463198289335389729e-03
6.712567799910268513e+05,7.463198289335389729e-03
6.712567799910268513e+05,3.357801920393460333e-03
6.714567783945382107e+05,3.357801920393460333e-03
6.714567783945382107e+05,1.311958400637115284e-03
6.716567767980495701e+05,1.311958400637115284e-03
